Metric;Path;Package;Class;LineNo;Value;ClassType;Violation
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/GamepadBatterySnapshot.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.GamepadBatterySnapshot;0;4;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control$Action;0;1;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.GamepadRepositoryImpl$CachedLightTarget;0;5;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.GamepadRepositoryImpl;0;494;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/RoomControllerProfileRepository.kt;com.android.synclab.glimpse.infra.repository.roomdb;com.android.synclab.glimpse.infra.repository.roomdb.RoomControllerProfileRepository;0;49;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileDao.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.ControllerProfileDao;0;9;INTERFACE;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/DeleteControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.DeleteControllerProfileUseCase;0;7;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.GamepadRepositoryImpl$Companion;0;9;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$setupSettingsLists$3;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetPrimaryGamepadBatteryUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.GetPrimaryGamepadBatteryUseCaseKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.svace.CustomizeVibeDialogKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/SetPs4ControllerLightColorUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.SetPs4ControllerLightColorUseCaseKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.GetControllerProfileUseCaseKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.svace.GlimpseDatabaseKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$setupSettingsLists$1;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel;com.android.synclab.glimpse.presentation.viewmodel.svace.MainViewModelKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.svace.ChargingIconViewKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.svace.ControllerProfileEntityKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.svace.SettingItemUiModelKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.svace.ControllerInfoKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileDao.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.svace.ControllerProfileDaoKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/UpsertControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.UpsertControllerProfileUseCaseKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.svace.MainUiStateKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.svace.BatteryProgressViewKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerLightCommandResult.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.svace.ControllerLightCommandResultKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/overlay/OverlayWindowController.kt;com.android.synclab.glimpse.infra.overlay;com.android.synclab.glimpse.infra.overlay.svace.OverlayWindowControllerKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.CustomizeVibeDialog$WhenMappings;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.svace.GamepadRepositoryImplKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$setupSettingsLists$2;0;0;CLASS;N
