Metric;Path;Entity;Value;LineNo;Violation
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;handleSettingToggleChanged;9;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;keyboardTypeLabel;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;showCustomizeVibeDialog;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;showToast;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;refreshSettingsStateLater;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;applyChargingIconGlow;4;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;renderUiState;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;onRequestPermissionsResult;7;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;setupSettingsLists;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;dispatchServiceAction;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;toHexColor;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;onCreate;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;onDestroy;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;shouldRequestBluetoothConnectPermission;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;handleSettingItemClicked;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;requestOverlayPermission;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;loadControllerProfile;5;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;bindViewModelObserver;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideOverlayWindowController;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideMonitoringNotificationController;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideDeleteControllerProfileUseCase;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideConnectedPs4ControllersUseCase;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideGetControllerProfileUseCase;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideUpsertControllerProfileUseCase;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideSetPs4ControllerLightColorUseCase;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideMonitoringStateProvider;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideClosePs4ControllerLightSessionUseCase;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;provideInputDeviceGateway;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;providePrimaryGamepadBatteryUseCase;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;from;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;create;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;setProgressCompat;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;drawChargingAnimation;8;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;stopChargingAnimator;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;onDraw;6;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;colorAt;4;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;colorAtGlow;4;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;onDetachedFromWindow;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;dp;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;onMeasure;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;blend;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;startChargingAnimator;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;setChargingAnimationEnabled;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;onAttachedToWindow;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;flushPendingColorApply;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;scheduleColorApply;4;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;toHexColor;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;shouldShowFailureToast;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;handleApplyResult;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;dismiss;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;dispose;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;sendColorToController;6;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;showStatusToast;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;show;4;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/ClosePs4ControllerLightSessionUseCase.kt;invoke;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;setCardHeight;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;setTitle;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;applyAttributes;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;submitItems;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;setInteractionHandlers;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;setTitle;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;setCardBackgroundResourceCompat;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;pickNotificationIcon;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;updateBatteryState;5;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;onBind;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;onStartCommand;9;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;onDestroy;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;ensureForegroundStarted;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;onCreate;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/utils/InputDeviceLogUtils.kt;buildBatteryInfo;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;component3;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;component1;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;ControllerProfile;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;getLightbarColor;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;copy;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;component2;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;getDeviceName;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;getId;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getChecked;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;copy;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;SettingItemUiModel$Control$Toggle;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component1;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component2;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getEnabled;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getIconRes;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getControl;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component3;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component7;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getSubtitle;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component6;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component1;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getTitle;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component5;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getIconWidthDp;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getId;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component4;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;component2;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;SettingItemUiModel;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;getIconHeightDp;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;copy;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;setGlowEnabled;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;setGlowStyle;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;setIconResource;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;updateContainerHeight;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;onCreateViewHolder;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;onBindViewHolder;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;resolveItemHeight;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;onStopTrackingTouch;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;onStartTrackingTouch;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;onProgressChanged;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;bind;3;0;N
