Type;FromPath;FromClass;FromEntity;FromLineNo;Relations;ToPath;ToClass;ToEntity;ToClassType;ToLineNo
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;78;CALLS;/home/huy/.gradle/caches/modules-2/files-2.1/org.jetbrains.kotlin/kotlin-stdlib/2.0.21/618b539767b4899b4660a83006e052b63f1db551/kotlin-stdlib-2.0.21.jar;kotlin.collections.CollectionsKt___CollectionsKt;firstOrNull;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;MainViewModel;14;CALLS;/home/huy/.gradle/caches/8.10.2/transforms/1607d94f7e43b7d1d4bcda75f9125c02/transformed/lifecycle-viewmodel-2.6.2-api.jar;androidx.lifecycle.ViewModel;ViewModel;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;buildControllerUniqueId;117;CALLS;/home/huy/.gradle/caches/modules-2/files-2.1/org.jetbrains.kotlin/kotlin-stdlib/2.0.21/618b539767b4899b4660a83006e052b63f1db551/kotlin-stdlib-2.0.21.jar;kotlin.text.StringsKt__StringsKt;trim;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;161;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.model.EventChangeParam;EventChangeParam;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;96;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;com.android.synclab.glimpse.data.model.ControllerInfo;getName;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;58;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/MonitoringStateProvider.kt;com.android.synclab.glimpse.base.contracts.MonitoringStateProvider;isOverlayVisible;INTERFACE;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;51;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.utils.LogCompat;d;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;53;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/infra/input/InputDeviceGateway.kt;com.android.synclab.glimpse.infra.input.InputDeviceGateway;isInputManagerAvailable;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;66;READS;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;com.android.synclab.glimpse.data.model.BatteryChargeStatus;UNKNOWN;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;71;READS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType;CONTROLLER_INFO_UPDATED;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;setOnViewModelChange;29;READS;/home/huy/.gradle/caches/modules-2/files-2.1/org.jetbrains.kotlin/kotlin-stdlib/2.0.21/618b539767b4899b4660a83006e052b63f1db551/kotlin-stdlib-2.0.21.jar;kotlin.Unit;INSTANCE;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;64;READS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState;INPUT_MANAGER_UNAVAILABLE;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;149;READS;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.utils.LogCompat;INSTANCE;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;51;READS;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.utils.LogCompat;INSTANCE;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;82;READS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState;DISCONNECTED;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;160;READS;/home/huy/.gradle/caches/modules-2/files-2.1/org.jetbrains.kotlin/kotlin-stdlib/2.0.21/618b539767b4899b4660a83006e052b63f1db551/kotlin-stdlib-2.0.21.jar;kotlin.Unit;INSTANCE;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;93;READS;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;com.android.synclab.glimpse.data.model.BatteryChargeStatus;UNKNOWN;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;106;READS;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.utils.LogCompat;INSTANCE;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;setOnViewModelChange;33;READS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.model.EventChangeParam$Source;SYSTEM;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;91;READS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState;CONNECTED;CLASS;0
