RelationType;FromEntity;FromPath;FromLine;ToEntity;ToPath;FromClass;ToClass;RelationCount;FromModule>ToModule;Key;Violation
CALLS;onPause;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;189;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;showCustomizeVibeDialog;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;341;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;showCustomizeVibeDialog;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;344;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;handleSettingToggleChanged;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;279;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;handleSettingItemClicked;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;324;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;persistControllerProfile;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;820;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;handleBluetoothPermissionResult;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;568;i;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;loadControllerProfile;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;778;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;onCreate;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;117;e;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;logInputDeviceCallback;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;633;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;requestOverlayPermission;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;496;e;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;onResume;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;175;e;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
